Fat,Variety or Processing,"Viscosity
mm^2/s @ 40 C
ASTM-D 445, ASTM-D 88","Density
kg/l @ 15.6 C
ASTM-D 1298","Density
kg/l @ 25 C","Surface Tension
dynes/cm
ASTM-D 971","Net Calorific Value
MJ/kg","Gross Calorific Value
MJ/kg
ASTM-D 270","Cetane
ASTM-D 613, ASTM-D 976","Cold filter clogging point
C
ASTM-EN 116, IP 309","Pour Point
C
ASTM-D 97","Cloud Point
C
ASTM-D 2500","Flash Point
C
ASTM-D 93","Fire point
C",Auto-Ignition point,"Initial Boiling Point, 0.1% evaporated
C
ASTM-D 86","Final Boiling Point, 99.5% evaporated
C
ASTM-D 86","Carbon residue
% weight
ASTM-D 189, ASTM-D 524","Ash
% in weight
ASTM-D 482","Particulate Matter
mg/100 ml","Sediment content by the extraction method
% volume
ASTM-D 473","Insoluble impurities
% weight
AOCS Method Ca 3a-46","Unsaponifiable matter
% weight
AOCS Method Ca 6a-40","Water by Karl-Fischer
% weight
ASTM-D 1744","Water and sediment content
% weight
ASTM-D 1796","Moisture and volatiles by hotplate
% weight
AOCS Method Ca 2b-38","Moisture, Volatiles, Insolubles, and Unsaponifiables
% weight","Free Fatty Acid
% Weight as Oleic acid","Acid Value
mg KOH/g","Iodine value
g I/100g oil",Saturation Level,"Peroxide number
ppm Oxygen","Oxidation stability
mg/100ml
ASTM-D 2274","Jet Fuel Thermal Oxidation Test rating
ASTM-D 3241",Induction Period,"Copper Corrosion Rating
ASTM-D 130","Saponification value
mg KOH/g oil","Carbon
% weight","Hydrogen
% weight","Oxygen
% weight","Sulfur
% weight
ASTM-D 1266, ASTM-D 129, IP 336","Nitrogen
% weight","Phosphorus
% weight
AOCS Method Ca 12-55","Phosphorus
Linseed,,28,,,,,39.33,,,,,240,,,,,0.24,0.01,,,,,,,,,,,156.74,,,,,,,188.71,,,,0.01,,,,,"Demirbas, 1998"
Safflower,,31.6,,,,,39.52,42,,,,260,,,,,0.26,0.007,,,,,,,,,,,139.83,,,,,,,190.23,,,,0.01,,,,,"Demirbas, 1998"
Walnut,,36.8,,,,,39.56,33.6,,,,232,,,,,0.24,0.02,,,,,,,,,,,135.24,,,,,,,190.82,,,,0.02,,,,,"Demirbas, 1998"
Sunflower,,34.4,,,,,39.57,36.7,,,,,,,,,0.28,0.01,,,,,,,,,,,132.32,,,,,,,191.7,,,,0.01,,,,,"Demirbas, 1998"
Beechnut,,38,,,,,39.82,38.2,,,,260,,,,,0.23,0.03,,,,,,,,,,,110.64,,,,,,,193.52,,,,0.008,,,,,"Demirbas, 1998"
Corn,,35.1,,,,,39.64,37.5,,,,276,,,,,0.22,0.01,,,,,,,,,,,119.41,,,,,,,194.14,,,,0.01,,,,,"Demirbas, 1998"
Soybean,,33.1,,,,,39.63,38.1,,,,255,,,,,0.24,0.006,,,,,,,,,,,120.52,,,,,,,194.61,,,,0.01,,,,,"Demirbas, 1998"
Poppy,,42.4,,,,,39.59,36.7,,,,265,,,,,0.25,0.02,,,,,,,,,,,116.83,,,,,,,196.82,,,,0.01,,,,,"Demirbas, 1998"
Rapeseed,,37.3,,,,,39.73,37.5,,,,245,,,,,0.31,0.006,,,,,,,,,,,108.05,,,,,,,197.07,,,,0.01,,,,,"Demirbas, 1998"
Hazelnut kernel,,24,,,,,39.83,35.8,,,,230,,,,,0.21,0.01,,,,,,,,,,,98.62,,,,,,,197.63,,,,0.02,,,,,"Demirbas, 1998"
Peanut,,40,,,,,39.45,34.6,,,,270,,,,,0.22,0.02,,,,,,,,,,,119.35,,,,,,,199.8,,,,0.01,,,,,"Demirbas, 1998"
Beech,,34.6,,,,,39.59,36.2,,,,242,,,,,0.24,0.04,,,,,,,,,,,105.15,,,,,,,202.16,,,,0.006,,,,,"Demirbas, 1998"
Castor,,29.7,,,,,37.41,42.3,,,,260,,,,,0.21,0.01,,,,,,,,,,,88.72,,,,,,,202.71,,,,0.01,,,,,"Demirbas, 1998"
Ailanthus,,30.2,,,,,39.38,35.1,,,,238,,,,,0.22,0.02,,,,,,,,,,,107.18,,,,,,,206.34,,,,0.01,,,,,"Demirbas, 1998"
Safflower,High Oleic,40.8,,,,,39.61,48.8,,,,292,,,,,0.24,0.01,,,,,,,,,,,88.57,,,,,,,206.82,,,,0.02,,,,,"Demirbas, 1998"
Spruce,,35.6,,,,,39.44,34.2,,,,238,,,,,0.26,0.01,,,,,,,,,,,96.08,,,,,,,207.79,,,,0.01,,,,,"Demirbas, 1998"
Sesame,,36,,,,,39.42,40.4,,,,262,,,,,0.25,0.002,,,,,,,,,,,91.76,,,,,,,210.34,,,,0.01,,,,,"Demirbas, 1998"
Bay Laurel,,23.2,,,,,38.32,33.6,,,,226,,,,,0.2,0.03,,,,,,,,,,,69.82,,,,,,,220.62,,,,0.02,,,,,"Demirbas, 1998"
Corn Marrow,,35.1,,,,,39.6,37.5,,,,,,,,,0.22,0.01,,,,,,,,,,,119.41,,,,,,,194.14,,,,0.01,,,,,"Demirbas, 2003"
Olive,,29.4,,,,,39.7,49.3,,,,,,,,,0.23,0.02,,,,,,,,,,,100.16,,,,,,,196.83,,,,0.02,,,,,"Demirbas, 2003"
Almond,,34.2,,,,,39.8,34.5,,,,,,,,,0.22,0.01,,,,,,,,,,,102.35,,,,,,,197.56,,,,0.01,,,,,"Demirbas, 2003"
Walnut,,24,,,,,39.8,52.9,,,,,,,,,0.21,0.01,,,,,,,,,,,98.62,,,,,,,197.63,,,,0.02,,,,,"Demirbas, 2003"
Wheat Grain,,32.6,,,,,39.3,35.2,,,,,,,,,0.23,0.02,,,,,,,,,,,120.96,,,,,,,205.68,,,,0.02,,,,,"Demirbas, 2003"
Cottonseed,,33.7,,,,,39.4,33.7,,,,,,,,,0.25,0.02,,,,,,,,,,,113.2,,,,,,,207.71,,,,0.01,,,,,"Demirbas, 2003"
Soybean,,33.1,,,,,39.6,38.1,,,,,,,,,0.24,0.006,,,,,,,,,,,69.82,,,,,,,220.78,,,,0.01,,,,,"Demirbas, 2003"
Castor,,297,0.9537,,,37.274,,7,,,,,,,,,0.22,<.01,,,,,,trace,,,,0.21,,,9.6,,,95,1A,,,,,0.01,,,3,,"Goering, 1982"
Corn,,34.9,0.9095,,,39.5,,37.6,,-40,-1.1,277,,,,,0.24,0.01,,,,,,trace,,,,0.11,,,18.4,,,9.3,1A,,,,,0.01,,,7,,"Goering, 1982"
Cottonseed,,33.5,0.9148,,,39.468,,41.8,,-15,1.7,234,,,,,0.24,0.01,,,,,,0.04,,,,0.07,,,64.8,,,7.3,1A,,,,,0.01,,,8,,"Goering, 1982"
Crambe,,53.6,0.9044,,,40.482,,44.6,,-12,10,274,,,,,0.23,305,,,,,,0.2,,,,0.36,,,26.5,,,9,1A,,,,,0.01,,,12,,"Goering, 1982"
Linseed,,27.2,0.9236,,,39.307,,34.6,,-15,1.7,241,,,,,0.22,<.01,,,,,,trace,,,,0.2,,,33.7,,,2.9,1A,,,,,0.01,,,6,,"Goering, 1982"
Peanut,,39.6,0.9026,,,39.782,,41.8,,-6.7,12.8,271,,,,,0.24,0.005,,,,,,trace,,,,0.2,,,82.7,,,6.4,1A,,,,,0.01,,,9,,"Goering, 1982"
Rapeseed,,37,0.9115,,,39.709,,37.6,,-31.7,-3.9,246,,,,,0.3,0.054,,,,,,trace,,,,1.14,,,30.2,,,10,1A,,,,,0.01,,,18,,"Goering, 1982"
Safflower,High Oleic,41.2,0.9021,,,39.516,,49.1,,-20.6,12.2,293,,,,,0.24,<.001,,,,,,trace,,,,0.26,,,13.6,,,9.8,1A,,,,,0.02,,,0.42,,"Goering, 1982"
